Axis Item,SMR,Calendar,Eng.Speed(Max),Eng.Speed(Ave),BlowbyPress Max,LBF Exh.TempMax,LBR Exh.TempMax,RBF Exh.TempMax,RBR Exh.TempMax,Boost Press Max,EOil Pre.MAX,E.Oil P.L_Min,E.Oil P.H_Min,Eng.Oil Tmp.MAX,Cool Temp.MAX,Cool Temp.Min,Fuel Rate,Ambient TempMax,Ambient TempAve,Ambient TempMin,Atomos. Pres.Ave,Pump 1F P.Max,Pump 1R P.Max,Pump 2F P.Max,Pump 2R P.Max,FanPumpF P.Max,FanPumpR P.Max,HydOilTempMax,HydOilTempAve,HydOilTempMin,PTO Temp Max,PTO Temp Min,Truck Counter1,Truck Counter2,Load1F,Load1R,Load2F,Load2R,LoadFF,LoadFR,Load Count,Swing Count,Auto GRS P.Max,Auto GRS P. ON,Pump1 Torque Max,Pump1 Torque Ave,Pump2 Torque Max,Pump2 Torque Ave,FanPumpTorque Max,FanPumpTorque Ave,Engine Power Max,Engine Power Ave,Eco Mode on
Axis Scale,h,,rpm,rpm,kPa,degC,degC,degC,degC,kPa,MPa,MPa,MPa,degC,degC,degC,Liter/h,degC,degC,degC,hPa,MPa,MPa,MPa,MPa,MPa,MPa,degC,degC,degC,degC,degC,Times,Times,10^8Times,10^8Times,10^8Times,10^8Times,10^6Times,10^6Times,Times,Times,MPa,Times,Nm,Nm,Nm,Nm,Nm,Nm,kW,kW,sec

[Data]
,82575,1720347876|28800|0,1985,1609,337,629,622,638,609,104,47,15,31,97,85,68,1276,38,32,28,99,372,302,358,303,148,231,73,63,44,88,52,0,0,31932474,26499278,14852606,17184968,3359,851267,720000,4405,198,113,3332,1179,2923,906,432,134,724,476,42307
,82776,1720425583|28800|0,1981,1620,266,632,620,638,609,104,47,15,32,97,85,69,1257,38,32,28,99,366,306,373,304,161,231,71,62,41,86,53,0,0,29040445,26614768,14814571,16530279,3354,776711,720000,4409,199,114,3461,1136,2986,880,434,131,723,467,39371
,82976,1720507238|28800|0,1982,1644,318,628,616,631,603,103,48,0,0,99,86,62,1272,38,31,28,99,377,304,349,305,172,246,71,62,37,88,48,0,0,23979243,24675958,15112712,16068998,3602,798671,720000,4572,198,116,3507,1094,2948,884,470,130,722,473,9024
,83176,1720585698|28800|0,1978,1629,285,640,624,641,612,104,47,15,26,98,85,67,1296,38,31,28,99,374,310,338,306,122,229,71,62,42,88,53,0,0,29744910,25959562,15674931,17804513,1293,717679,720000,4491,197,115,3484,1167,2969,920,426,131,725,484,26778
,83377,1720704820|28800|0,1981,1594,622,637,622,645,609,103,59,15,25,98,86,0,1246,39,32,25,99,372,302,334,306,131,244,72,62,30,89,32,0,0,29337293,24792972,15082762,16044219,2913,1059099,720000,4331,198,117,3260,1117,3025,877,459,137,727,464,33659
,83578,1720817487|28800|0,1981,1552,655,625,613,634,599,105,54,15,1,97,84,0,1193,36,30,25,99,389,305,331,304,162,254,68,58,33,85,37,0,0,25491074,23842120,15357459,16430196,3183,1614277,720000,3973,198,117,3362,1061,3032,857,466,142,730,443,38108
,83778,1720899777|28800|0,1982,1626,276,625,614,635,600,103,48,15,33,97,84,65,1248,35,30,27,99,400,321,348,304,146,240,66,60,37,84,49,0,0,24977695,25119776,14343902,16021914,806,909563,720000,4014,208,115,3486,1094,2922,872,440,134,719,463,33877
,83979,1721000518|28800|0,1981,1561,272,636,626,646,611,106,55,15,32,99,86,0,1172,38,33,26,99,386,300,340,306,139,246,70,60,33,87,37,0,0,23076198,23095171,13555054,14521750,2411,1509982,720000,3917,198,115,3123,1024,2783,815,441,144,730,433,33448
,84179,1721078991|28800|0,1969,1555,359,633,623,644,608,106,48,15,24,98,86,65,1242,38,32,29,99,373,305,332,302,165,241,72,62,37,87,52,0,0,26173583,28535961,18259372,19913848,5695,1166893,720000,4350,201,114,3196,1126,2897,961,437,142,721,464,71995
,84379,1721198955|28800|0,1979,1616,394,628,621,634,606,105,57,15,32,98,86,44,1243,38,33,24,99,423,305,346,308,111,250,69,61,28,88,33,0,0,24573597,22445027,12867592,15121796,2187,1093010,720000,4105,200,118,3526,1076,2940,844,469,138,727,461,17155
